"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.tidewaterproperty.com/","text/html; charset=UTF-8","200","OK","Indexable","","1430","0.123","",""
"https://www.tidewaterproperty.com/wp-content/plugins/mystickymenu/dist/js/morphext.js?ver=2.9.0","application/javascript","200","OK","Indexable","","0","0.059","",""
"https://www.tidewaterproperty.com/wp-content/themes/bc-tidewater/img/m_hirise_img.jpg","image/jpeg","200","OK","Indexable","","0","0.246","",""
"https://www.tidewaterproperty.com/wp-content/themes/bc-tidewater/src/js/custom-select-option.js","application/javascript","200","OK","Indexable","","0","0.240","",""
"https://www.tidewaterproperty.com/service-area/ocean-city-md/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.592","",""
"https://www.tidewaterproperty.com/service-area/georgetown-de/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.552","",""
"https://www.tidewaterproperty.com/resources/","text/html; charset=UTF-8","200","OK","Indexable","","852","0.545","",""
"https://www.tidewaterproperty.com/service-area/","text/html; charset=UTF-8","200","OK","Indexable","","591","0.268","",""
"https://www.tidewaterproperty.com/tidewater-property-management/?f_type=association_","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","713","0.943","",""
"https://www.tidewaterproperty.com/services/construction-management/","text/html; charset=UTF-8","200","OK","Indexable","","596","0.657","",""
"https://www.tidewaterproperty.com/wp-includes/js/dist/i18n.min.js?ver=c26c3dc7bed366793375","application/javascript","200","OK","Indexable","","0","0.061","",""
"https://www.tidewaterproperty.com/vendors/","text/html; charset=UTF-8","200","OK","Indexable","","570","0.265","",""
"https://www.tidewaterproperty.com/upcoming-events/","text/html; charset=UTF-8","200","OK","Indexable","","569","0.067","",""
"https://www.tidewaterproperty.com/communityassociations/faqs/","text/html; charset=UTF-8","200","OK","Indexable","","579","0.330","",""
"https://www.tidewaterproperty.com/privacypolicy/","text/html; charset=UTF-8","200","OK","Indexable","","287","0.244","",""
"https://www.tidewaterproperty.com/wp-content/uploads/2022/11/Logo-5.jpg","image/jpeg","200","OK","Indexable","","0","0.240","",""
"https://www.tidewaterproperty.com/selftourproperties/","text/html; charset=UTF-8","200","OK","Indexable","","581","0.266","",""
"https://www.tidewaterproperty.com/tidewater-property-management/?f_type=rentals_","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","289","0.276","",""
"https://www.tidewaterproperty.com/sitemap/","text/html; charset=UTF-8","200","OK","Indexable","","288","0.234","",""
"https://www.tidewaterproperty.com/wp-content/plugins/gravityforms/assets/js/dist/utils.min.js?ver=48a3755090e76a154853db28fc254681","application/javascript","200","OK","Indexable","","0","0.066","",""
"https://www.tidewaterproperty.com/wp-content/plugins/gravityforms/assets/js/dist/vendor-theme.min.js?ver=4f8b3915c1c1e1a6800825abd64b03cb","application/javascript","200","OK","Indexable","","0","0.064","",""
