"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.tidewaterproperty.com/","text/html; charset=UTF-8","200","OK","Indexable","","Property Management & Real Estate Sales in Maryland & DC","56","533","Do you need rental or community property management services, help with real estate sales, or property maintenance? Call Tidewater now!","135","855","","0","Property Management & Real Estate Services in Maryland, Virginia & Washington, DC","81","","0","Why Choose Tidewater?","21","","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/","","","","","","227102","37758","37758","5.596","","863","161","5.360","60.231","Normal","4.405","0","0","","1430","282","0","100.000","209","118","0","18","8","0","","","","","67742eb9469f39ed82d337fa8252ddaf","0.123","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/","2026-06-23 22:08:11"
"https://www.tidewaterproperty.com/service-area/ocean-city-md/","text/html; charset=UTF-8","200","OK","Indexable","","Ocean City Property Management Services | Call Today","52","490","Looking for a reliable property management company in Ocean City? Tidewater is the popular choice for property management.","122","785","","0","Property Management Services in Ocean City, MD","46","","0","Residential Property Management in Ocean City","45","Commercial Property Management in Ocean City","44","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/service-area/ocean-city-md/","","","","","","192667","35011","35011","5.189","","1062","169","6.284","54.996","Fairly Hard","5.344","1","2","","7","3","0","1.060","143","61","0","19","9","0","","","","","2703c8fff256af5732e7b850e8dcde3c","0.592","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/service-area/ocean-city-md/","2026-06-23 22:08:11"
"https://www.tidewaterproperty.com/service-area/georgetown-de/","text/html; charset=UTF-8","200","OK","Indexable","","Property Management Company in Georgetown, DE | Call Today","58","565","Looking for a reliable property management company in Georgetown? Tidewater is your best ally for rental management in Georgetown. Contact us today.","148","954","","0","Property Management in Georgetown, DE","37","","0","Decades of Experience, Service & Progress","41","Property Management Services in Georgetown","42","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/service-area/georgetown-de/","","","","","","191753","34712","34712","5.144","","1092","175","6.240","50.437","Fairly Hard","5.545","1","2","","7","3","0","1.060","143","61","0","18","8","0","","","","","68791bdfb385b63a0a383bc78614f36e","0.552","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/service-area/georgetown-de/","2026-06-23 22:08:11"
"https://www.tidewaterproperty.com/resources/","text/html; charset=UTF-8","200","OK","Indexable","","Tidewater Property Management | Resources and Helpful Links","59","562","Are you looking for Tidewater property management community, county, state, utility, or industry sites? Click here!","115","701","","0","Resources and Helpful Links","27","","0","Community Websites","18","County Websites","15","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/resources/","","","","","","191156","33964","33964","5.033","","509","125","4.072","59.098","Fairly Hard","3.526","1","1","","852","282","0","100.000","145","65","0","45","35","0","","","","","8d7a94e776748fc1e79839c36615e0d9","0.545","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/resources/","2026-06-23 22:08:12"
"https://www.tidewaterproperty.com/service-area/","text/html; charset=UTF-8","200","OK","Indexable","","Service Area | Tidewater Property Management","44","423","Tidewater is the go-to choice for all your property management needs in MD, VA, and DC. Our expert services are here to make your life easier.","142","868","","0","Service Areas","13","","0","Maryland","8","","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/service-area/","","","","","","194467","34393","34393","5.097","","614","173","3.549","67.377","Normal","3.719","1","1","","591","282","0","100.000","229","131","0","18","8","0","","","","","69dc9bfb9c5f95b35b7dd328a219419","0.268","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/service-area/","2026-06-23 22:08:12"
"https://www.tidewaterproperty.com/tidewater-property-management/?f_type=association_","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Association Property Management in Maryland","43","417","Tidewater is proud to offer superior property management services for rentals and homeowner & condo associations throughout Maryland.","133","860","","0","Tidewater Property Management","29","Tidewater Property Management","29","Community Management in Maryland, Pennsylvania, Virginia, Delaware, West Virginia & Washington, D.C.","100","Rental Management","17","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/tidewater-property-management/","","","","","","283200","45198","45198","6.698","","1293","233","5.549","50.192","Fairly Hard","4.417","1","1","","713","282","0","100.000","164","74","0","21","8","0","","","","","557eb8829430ab0829ff59c927cf3584","0.943","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/tidewater-property-management/?f_type=association_","2026-06-23 22:08:11"
"https://www.tidewaterproperty.com/services/construction-management/","text/html; charset=UTF-8","200","OK","Indexable","","Construction Management Services in MD | Call Today","51","483","Need construction management services at your property in Maryland? If so, contact the expert property managers from Tidewater!","127","812","","0","Construction Management Services in Maryland","44","","0","Our Construction Management Services","36","Why Choose Tidewater for Construction Management?","49","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/services/construction-management/","","","","","","260115","42297","42297","6.268","","1141","201","5.677","56.564","Fairly Hard","4.342","1","2","","596","282","0","100.000","150","64","0","18","8","0","","","","","79f656dbb59fb639307e412f498a3ce1","0.657","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/services/construction-management/","2026-06-23 22:08:12"
"https://www.tidewaterproperty.com/vendors/","text/html; charset=UTF-8","200","OK","Indexable","","Vendors | Learn More","20","191","Interested in partnering with Tidewater Companies to provide top-quality services? Learn how you can become a qualified vendor in our network.","142","890","","0","Vendor","6","","0","Our Vetting Process","19","Vendor Opportunities","20","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/vendors/","","","","","","188165","33632","33632","4.984","","574","113","5.080","59.451","Fairly Hard","3.883","1","1","","570","282","0","100.000","139","59","0","19","9","0","","","","","b9f08df32baffb6bcb4f42bbd86c302a","0.265","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/vendors/","2026-06-23 22:08:12"
"https://www.tidewaterproperty.com/upcoming-events/","text/html; charset=UTF-8","200","OK","Indexable","","Property Management Upcoming Events | Learn More","48","477","Interested in attending one of Tidewater&apos;s upcoming events? Learn about them here!","87","520","","0","Upcoming Events:","16","","0","","0","","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/upcoming-events/","","","","","","186993","33091","33091","4.904","","376","83","4.530","58.462","Fairly Hard","3.202","1","1","","569","282","0","100.000","139","59","0","22","12","0","","","","","53c9e1ba7b00e4a2e37326cc2242869c","0.067","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/upcoming-events/","2026-06-23 22:08:12"
"https://www.tidewaterproperty.com/communityassociations/faqs/","text/html; charset=UTF-8","200","OK","Indexable","","Community Association FAQs | Tidewater Property Management","58","575","Have questions about Tidewater&apos;s association management program? Click here for answers to frequently asked questions!","123","764","","0","Community Association FAQs","26","","0","Our Services","12","","0","follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large","","","https://www.tidewaterproperty.com/communityassociations/faqs/","","","","","","287437","48279","48279","7.155","","2000","343","5.831","62.130","Normal","5.731","1","2","","579","282","0","100.000","140","59","0","18","8","0","","","","","af56a3dc82e8623e0d58e0a7b70a291c","0.330","","","","","en-US","1.1","","","","","","https://www.tidewaterproperty.com/communityassociations/faqs/","2026-06-23 22:08:12"
